,별점,리뷰,추천 수,비추천 수
44,10,꼭 봐야될영화! 김혜수같은 인물들이 많기를. 본인의 이익이 아니라 나라를 더 사랑했으면. 나부터 깨어있어여겠다. ,452,70
45,10,믿고보는 갓혜수 bbbb ,444,68
46,10,관람객영화보면서 뒷목 답는 줄 ㅠㅠ 어떻게 저런 사람들이 한 나라를 좌지우지 할 수가 있는지~ 아무튼 연기나 내용이나 볼만합니다. ,441,76
47,9,김혜수 배우님의 연기와 노력에 박수를 보냅니다 ,425,69
48,10,혜수언니 너무 멋있어요♡♡ ,396,60
49,10,김혜수 배우님 믿고 봤습니다. 갓혜수.. ,391,68
50,10,김혜수 배우님 연기때문에 다시한번 보고 싶네요. 진취적인 영웅의 모습을 너무 잘 그려주셨어요. ,386,67
51,10,믿고보는 김혜수다 진짜 연기가 빛이 나더라..간만에 재밌는 영화 봤네요 ,359,63
52,10,관람객20년이 흐른 지금 오히려 더 필요한 영화 ,326,33
53,9,"IMF를 겪었냐 안겪었냐, 디폴트를 선언하냐 마냐 그게 중요한게 아니다..그 모든 과정이 밀실에서 이뤄졌고 국민을 선동하고 우롱했다는 것... ",310,29
54,10,좀전에 보고나왔는데 김혜수배우님 연기에 감동했습니다. 좋은연기 해주셔서 감사합니다. 영화 정말 강추에요!! ,327,58
55,10,역시 갓혜수  믿보배 존멋ㅠㅠ IMF 겪었지만 잘 몰랐는데.. 넘 답답하구 맘아팠습니다 ,326,59
56,10,드라마인데 재난영화보다 쫄린다 ,309,48
57,10,김혜수 유아인 허준호씨 각 배역에맞게연기 정말 잘하셨고요...몰입감도 교훈도...아빠가 저당시 명예퇴직당하셨는데눈물짓게만드는 그때 기억이 새록새록 ㅠ ,356,102
58,10,위기는 기회다. 이말 잊지말라 ,291,40
59,10,이런영화가 천만영화라고 생각합니다 좋은영화 잘봤습니다 경제스릴러인가요? 역사는 반복되고 우리는 대비해야겠죠 마지막나래이션 처럼 항상 깨여있도록 노력하겠습니다 ,276,26
60,10,배우들 연기도 좋고 각 계층마다 imf를 바라보던 시점을 잘 표현한거 같아요! 재밌게 보고 왔습니다 ,309,62
61,10,보면 많은 생각이 들어요 ㅠㅠ ,308,62
62,10,진짜 김혜수는 최고다... ,302,60
63,10,외국자본 빠져나가고 있고 달러인상 코스피 폭락 국가긴급 수혈 서민들 살기어렵다 아우성 등등 현 시국이랑 판박이. 아니 저 시절보다 지금이 더 어렵다. 경각심을 일깨워주는 좋은 영화. 김혜수 유아인 요썰고 님 등  등...,303,78
64,10,관람객우는 타이밍이 아닌데 울고 계시는 분들이 의외로 몇분 계셨다. 그 시절을 지나온 분들이니 무슨 사연이 있었겠지.  중학생인 자녀도 공감하기에 다행이다 싶으면서  한 번 쯤은 꼭 보라고 권하고 싶다. ,220,17
65,7,잘 가다가 마지막에 남매설정 뭥미? 뭐~? 오빠? 국가부도를 가장 먼저 예상한 한은 통화실장이 지 오빠가 사업하는 데 어음거래 하지 말라고 전화 한 통도 안 하나. 참 나. 남매설정 솔직히 무리수지 않냐. ,231,41
66,6,관람객지금이나 그때나 별다르지 않는다는 씁슬함이 남는 영화. 세명을 모두 다루려다보니 약간 산만해서 아쉬움이 남았다. 김혜수의 연기가 좋았다. ,227,41
67,10,"20년전 나의 정치, 경제적 문외함이 한없이 부끄러워지게 한 영화네요. 꿈도 희망도 없이 현대 사회를 살아갈 수 밖에 없는 사회 구조를 만들어 낸 계기가 IMF라는 사실을 알게된 것 그 자체만으로도 대단한 영화이며,...",218,41
68,10,박카스 사온 사장님... 착하고 정직하게 살아온 사람들은 손해보는 세상! 가슴이 아프다~ ,181,8
69,10,김혜수님 연기 최고예요ㅠㅠ  김혜수님 보러 간건데 역시 실망시키지않네요. 믿고보는 배우bb ,215,51
70,10,영화 한 줄 평 : 눈을 뜬 자는 가질 것이고 눈 감은 자는 잃을 것 이다. ,190,34
71,10,국민을 무서워할 줄 모르는 무능한 위정자들 너넨 대체 어느나라 국민이니? 배우들 연기 몰입력이 압권이다. 모두가 꼭 봐야할 영화라는 생각이 든다. ,179,26
72,10,김혜수 배우님 나온다고 해서 보러갔는데 역시 갓혜수 ,209,57
73,7,혜수언니가 멱살잡고 끌고가는 영화...보고 나서 경제학 배우고 싶어짐 ,189,39
74,10,김혜수 연기력 최고 ㅠㅠ 보는내내 감탄하고 봤어요 갓혜수 ㅠㅠ 천년만년 연기해주세요 소처럼 일해주세요 ㅠㅠ ,192,46
75,10,역시 갓혜수님!! 짱 믿보배우 갓혜수 ,188,49
76,10,실질적으로 imf 시절을 겪은 사람으로써 정말 잘만들었다는 생각이 듭니다.. ,167,31
77,9,관람객경제 모르면 당한다. 항상 깨어있을것. 당연하다고만 생각말기 ,156,23
78,8,김혜수 배우님 덕분에 잘 봤습니다!! 믿고 보는 갓혜수! ,173,47
79,10,그 시절을 버텨낸 국민 개개인 모두에게 갈채를 드립니다.권력을 직시할 수 있는 혜안과 지혜를 갖추고자 또 노력하고자 합니다. 국민 모두에게 홧팅!!! ,154,30
80,10,영화 처음부터 중반까지.. 아는 사실임에도 불구하고 국가부도사태가 안 오길 기도했다. 영화는 IMF의 진짜의미와 숨겨진 이권세력의 이면을 보여준다. 인물의 내면 심리와 여러 직종에 놓인 사람들은 영화를 잘 이해하게 ...,151,30
81,10,김혜수 유아인 연기 진짜 대박.. 엄청 몰입해서 봤음. 그리고 권선징악(?) 이라는 뻔한 스토리가 아니어서 현실적이었다. 부자는 부자되고 가난한사람은 더 가난해지고.. ,210,89
82,10,97년생으로써 느끼는 바가 컸고 부모님께 너무너무 감사하다 키워주셔서 그리고 버텨주셔서 ,161,43
83,10,김혜수님 영어발언 반했습니다 ㅎㅎ 유아인의 돈벌었다고 좋아하지말라며 몇대치는 모습 반했어요ㅎ모두가 봐야하는 영화라고 생각합니다. 영화 마지막까지 엄지척! ,152,39
84,10,김혜수님만 믿고 봤는데 역시 갓혜수 ㅠㅠ ,160,49
85,10,시사보고 너무 좋아서 한번 더 보러갑니다 ,166,55
86,10,"관람객정치,경제에 별로 관심 없는데 재밌게 봤다. 재미를 떠나서 영화 자체가 되게 좋았다. 내용과 배우들 연기력은 물론,몰입감도 좋고 생각이 많아지는 영화나는 눈물도 꽤 흘렸다. 사실 크게 기대안하고 본영화였는데 여운이 ...",129,28
87,10,관람객배우들의 연기에 몰입감이 제대로였습니다 ,133,32
88,10,차갑게 시작해서 뜨겁게 끓어오르다 이내 차분함을 주는 그날의 이야기. 나름 객관적인 시각을 유지하는 톤앤매너가 보기 좋네요. 경제는 늘 조심해야 합니다. 과거에도 지금도... ,136,35
89,10,영화 보면서 울컥울컥해서 혼났습니다. 내 삶과 너무 밀접한 이야기에 시간이 언제 지나가는지도 몰랐구요. 정말 널리널리 많은 사람들이 봐야하는 영화입니다 ,117,20
90,10,배우들 연기력인정!!! ,142,46
91,10,그 당시 그 때가 생각이 나서 너무 가슴이 아팠다. IMF로 비정규직라는 것이 생겼다는게.. 그리고 아직도 그 고리를 끊질 못하고 있다는게... 역시 믿고 보는 김혜수 유아인 허준호 조우진이다. ,102,12
92,6,전체적인 밸런스 좋은 영화지만 마지막 남매씬은 너무 갔다 ,110,20
93,10,나라의 주인은 국민인데 국민만 희생하는... 뭔가 짠하고도 씁쓸하다 ,121,32
94,9,관람객보는 내내 답답하고 국가가 믿을 수 없다는 사실이 슬프고 화가 났다. 보고 난 후 속이 허해 몇시간 동안 끙끙 거렸다. ㅠㅠ 배우들의 연기는 모두 훌륭했다. ,95,10
95,9,볼만한 스토리에 연기자들의 좋은연기 ,122,43
96,10,김혜수 연기 너무 잘해서 김혜수만 기억에 남음... ,121,47
97,10,관람객그당시의 경제상황을 정말 잘 풀어낸 역작입니다. 어려운 경제용어같은것도 먾이 안나오고 나오더라도 잘 풀어서 설명합니다. 배우자들 연기도 좋습니다. 추천합니다! ,85,12
98,10,아버지가 IMF 때 일궈놓은것이 모두 무너졌는데 허준호씨 연기보며 아버지 상황에 대입되서 너무 슬펐고 아버지한태 다시한번 전화해서 안부뭍는 계기가 되었습니다. ,98,26
99,10,보고난 소감은... 재미있다는 생각대신 화가 치밀어 오르네요. 국민들이 어떻게 되든 대기업 위주로 재편되도록한 보수꼴통새끼들. 한국을 IMF를통해 장사해먹은 우리의 우방 미국. 유아인의 말이 머릿속에 남네요. 저새끼...,116,44
100,10,김혜수의 김혜수에 의한 김혜수를 위한 영하 김혜수 원톱 영화 ,127,58
101,10, 왜 자꾸 주입식 교육과 천편일률적인 평가에 목 매도록 만드는지 알 것 같다.  제도권에서 벗어나야 그나마 현실을 객관적으로 볼 수 있을까? 온국민의 무지와 정치에 대한 무관심이 낳은 참극.  그리고 더 무서운 건 ...,82,15
102,9,"속도감 쩐다. 끝났는데 더 보고 싶었다. 김혜수,유아인,허준호 짱이다. 그 시절을 힘들게 이겨낸 모든 서민분들 고생 많으셨습니다. ",107,41
103,10,"이 시기를 잘 견뎌준 부모님들께 감사,  경제에 대해 항상 일깨고 있고 공부해야함을 알려줌. 잘 만들었다 생각 ",89,24
104,9,관람객배우들이 맡은 캐릭터를 정말 잘살려줌ㅜㅜ 인상 깊게 봤음!! ,97,32
105,10,관람객대한민국인사람이라면꼭봐야할영화 ,87,25
106,10,최근에 본 영화중 가장 내 삶과 근접한 영화. 여러 생각이 들게하는 영화인것 같다. 최고의 영화 ,73,12
107,10,정확히 21년전 외국계 회사를 다녔던 때 나라 경제 위기의 극복을 위해 물과 전기를 아껴쓰자고 공고문을 썼던 일과 달러가 2천원대가 넘었던 일들이 어제 일처럼 또렷하게 생각나게 하는 영화이자 모든 배우들의 연기에 구...,75,15
108,10,배우님들 주연 조연 할 것 없이 한 분도 빠짐없이 연기력이 모두 완벽했다.그만큼 영화를 만드는 노력과 열정이 보는 내내 느껴졌다.오랜만에 영화가 끝나도 계속 생각나는 작품이였다. ,81,22
109,10,진짜 김혜수가 다했다 갓혜수 ,90,33
110,10,연기 구멍이 1도 없고 지루할 수도 있었던 스토리를 윤정학이라는 감초 캐릭터가 잡아줘서 좋았다 그 때의 현실을 반영하면서도 영화로서 정말 재미있고 추천하고 싶은 영화 ,119,63
111,10,"그저 갓혜수,,,당신은 대체,,,, ",85,30
112,10,꼭 봐야 할 영화. 늘 깨어있을 것. 당연한 것을 당연하다 여기지 말 것. ,77,23
113,10,엄마 아빠 고생 많았어요 ㅠㅠ 배우들의 앙상블 최고! 보는 내내 가슴이 뛰고 먹먹함 ㅠㅠ ,64,12
114,9,중학교시절 대충만 알았던 IMF를 좀더 알게되었다. 어려운 경제용어 때문에 지루할수있지만 유아인의 프레젠테이션 장면이 확 와닿는다. 배우들 연기가 빛이 나고 특히 김혜수 영어 대사에 박수를! ,84,32
115,10,"스릴러 보는듯한 느낌이었어요. 우리나라 경제를 다루고, 사회를 그려낸 이야기라 공감도 되고 너무 좋았네요. 왠만하면 로그인해서 평점 안남기는데 10점 드립니다. 김혜수 유아인 연기 짱 ",67,16
116,10,관람객김혜수가 캐리함ㅋㅋ 뜻 잇는 영호ㅓ ,85,34
117,8,김헤수 유아인 작품보는 안목있어 ,94,43
118,10,연기 다들 최고 :) 항상 깨어있자 ,72,22
119,10,IMF때 아버지 실직하시고 돌아가셨어요. 이후로 지방내려와서 컸어요. 아버지가 얼마나 힘드셨을지 생각나 많이 울었습니다. 그땐 너무 어려서 몰랐어요. ,54,6
