공원명,주소,구,동,lat,lng
남산도시자연공원,서울 중구 예장동 산 5-6,중구,예장동,37.5524979951415,126.989316855952
길동생태공원,서울 강동구 길동 산 7-3,강동구,길동,37.5408201666847,127.15541997637
서울대공원,경기 과천시 막계동 159-1,과천시,막계동,37.4269323703359,127.01990249053
서울숲,서울 성동구 성수동1가 678-1,성동구,성수동1가,37.5443222301513,127.037617759165
월드컵공원,서울 마포구 성산동 390-1,마포구,성산동,37.5631939895966,126.897635431027
광화문시민열린마당,서울 종로구 세종로 76-14,종로구,세종로,37.575017745234,126.978061264646
진관근린공원(구파발폭포),x,x,x,x,x
중마루근린공원,서울 영등포구 영등포동2가 222,영등포구,영등포동2가,37.5196617260628,126.911545250304
응봉공원,서울 성동구 응봉동 234-3,성동구,응봉동,37.5520239485513,127.037675950511
매화근린공원,서울 강서구 등촌동,강서구,등촌동,37.5574585792214,126.860946982509
성수근린공원,서울 성동구 성수동2가 302-1,성동구,성수동2가,37.5448499668206,127.052446160552
샛마을근린공원,서울 강동구 명일동 288,강동구,명일동,37.5498037664393,127.147901857504
여의도근린공원,서울 영등포구 여의도동 85,영등포구,여의도동,37.52638860108943,126.93512931714196
간데메근린공원,서울 동대문구 답십리동 471,동대문구,답십리동,37.5733627114637,127.048721478311
훈련원근린공원,서울 중구 을지로5가 403-1,중구,을지로5가,37.5673684751397,127.003671928773
영등포근린공원,서울 영등포구 여의도동 85,영등포구,여의도동,37.52638860108943,126.93512931714196
보라매근린공원,서울 동작구 신대방동 722,동작구,신대방동,37.49328307697023,126.92051756183096
어린이대공원,서울 광진구 능동 259-1,광진구,능동,37.55147494441319,127.0837947580967
천호근린공원,서울 강동구 천호동 360,강동구,천호동,37.5449885478155,127.12642863661
용산가족공원,서울 용산구 용산동6가 168-6,용산구,용산동6가,37.5217984491514,126.983574610978
독립근린공원,서울 서대문구 현저동 101,서대문구,현저동,37.5744058898155,126.955398396095
낙산근린공원,서울 종로구 동숭동 산 2-10,종로구,동숭동,37.58056966858,127.007521763748
양재시민의숲,서울 서초구 양재동 236,서초구,양재동,37.4709233091882,127.035871693026
관악산도시자연공원,서울 관악구 신림동,관악구,신림동,37.4584938214641,126.947220872691
효창근린공원,서울 용산구 효창동 255,용산구,효창동,37.5450822374747,126.961037545693
감로천생태공원(관악산),x,x,x,x,x
개운산근린공원,서울 성북구 돈암동 산 6-1,성북구,돈암동,37.59944724699987,127.02641548812386
개웅산근린공원,서울 구로구 개봉동 298-86,구로구,개봉동,37.485000326533,126.848056078404
경희궁,서울 종로구 신문로2가 2-1,종로구,신문로2가,37.5707881525953,126.968649079046
국립현충원,서울 동작구 동작동 215-5,동작구,동작동,37.49943683156676,126.97152424749935
계남근린공원,서울 양천구 신정동,양천구,신정동,37.5138524901244,126.848187630714
고척근린공원,서울 구로구 고척동 산 9-14,구로구,고척동,37.5052221817965,126.8520594675
파리근린공원,서울 양천구 목5동 906,양천구,목5동,37.5347714061068,126.877168427609
허준공원,서울 강서구 가양동 1471,강서구,가양동,37.5681915373236,126.852288177516
궁동근린공원,대전 유성구 궁동 391,유성구,궁동,36.3647550356668,127.351147799106
궁산근린공원,서울 강서구 가양동 산 8-1,강서구,가양동,37.5738000661701,126.839068805614
까치산근린공원,서울 동작구 사당동,동작구,사당동,37.4845897625484,126.963936345046
꿩고개근린공원,서울 강서구 방화동,강서구,방화동,37.5801808080392,126.815597825426
노량진공원,서울 동작구 대방동 350-5,동작구,대방동,37.50775364787669,126.92673749595534
