영화관명,주소,구,동,lat,lng
아트하우스모모-이화?KB시네마,서울특별시 서대문구 대현동,서대문구,대현동,37.5613469,126.9470584
에무시네마,서울특별시 종로구 신문로2가,종로구,신문로2가,37.5720671,126.9690317
이동상영,경상북도 포항시 남구 상도동,포항시 남구,상도동,36.0127942,129.3488979
이봄씨어터,서울특별시 강남구 신사동,강남구,신사동,37.5229472,127.022017
인사이드시네마,서울특별시 종로구 신문로1가,종로구,신문로1가,37.5697079,126.9722692
주공공이,경기도 안양시 동안구 관양동,안양시 동안구,관양동,37.3927803,126.9622377
주식회사명보아트홀(명보아트시네마),서울특별시 중구 초동,중구,초동,37.5646936,126.9931903
창동메가박스,서울특별시 도봉구 창동,도봉구,창동,37.6545747,127.0387545
청춘극장,서울특별시 성동구 행당동,성동구,행당동,37.557686,127.0312858
코엑스컴포트,서울특별시 강남구 삼성동,강남구,삼성동,37.5124447,127.0587905
클래식시네마스페이스(주),x,x,x,0.0,0.0
필름포럼,서울특별시 서대문구 대신동,서대문구,대신동,37.5637568,126.9441118
허리우드클래식,서울특별시 종로구 낙원동,종로구,낙원동,37.5728323,126.9880012
